idSensor,week,maxTemp,minTemp,rainSum,windSpeed,maxOzone
5707,2021-10-04/2021-10-10,21.0,8.0,71.3,26.4,83.7
5707,2021-10-11/2021-10-17,18.7,4.6,0.0,18.8,83.6
5707,2021-10-18/2021-10-24,18.6,5.5,2.0,10.4,65.7
5707,2021-10-25/2021-10-31,17.6,1.9,5.0,10.6,66.6
5707,2021-11-01/2021-11-07,14.2,-0.3,84.3,15.8,75.0
5707,2021-11-08/2021-11-14,14.9,1.9,21.7,17.6,60.3
5707,2021-11-15/2021-11-21,13.3,2.3,12.3,15.2,55.6
5707,2021-11-22/2021-11-28,11.9,0.4,30.4,13.8,63.7
5707,2021-11-29/2021-12-05,9.6,-1.7,0.1,30.2,61.5
5707,2021-12-06/2021-12-12,10.9,-3.8,4.8,26.4,60.4
5707,2021-12-13/2021-12-19,7.7,-2.7,0.0,13.4,25.8
5707,2021-12-20/2021-12-26,8.5,-3.3,0.4,18.4,28.6
5707,2021-12-27/2022-01-02,12.2,-0.2,2.9000000000000004,13.8,19.8
5707,2022-01-03/2022-01-09,9.4,-4.4,5.2,35.0,65.7
5707,2022-01-10/2022-01-16,9.2,-4.4,0.0,16.9,48.3
5707,2022-01-17/2022-01-23,12.9,-2.7,0.0,23.9,61.7
5707,2022-01-24/2022-01-30,14.9,-3.2,0.0,26.7,67.7
5707,2022-01-31/2022-02-06,17.1,-1.2,0.2,38.1,63.8
5707,2022-02-07/2022-02-13,13.2,-1.9,0.4,51.8,70.3
5707,2022-02-14/2022-02-20,13.7,-3.6,12.7,13.0,56.0
5707,2022-02-21/2022-02-27,16.3,-2.5,0.2,34.7,70.6
5707,2022-02-28/2022-03-06,12.6,-3.8,0.1,21.1,68.7
5707,2022-03-07/2022-03-13,13.6,-3.6,0.0,15.9,87.7
5707,2022-03-14/2022-03-20,15.6,2.4,0.7999999999999999,14.8,99.0
5707,2022-03-21/2022-03-27,20.7,-0.0,0.0,12.8,148.3
5707,2022-03-28/2022-04-03,20.9,1.1,19.9,18.7,149.1
5707,2022-04-04/2022-04-10,21.4,1.2,4.0,39.6,117.3
5707,2022-04-11/2022-04-17,25.0,3.0,1.2,26.9,164.2
5707,2022-04-18/2022-04-24,21.3,6.1,26.6,24.4,120.3
5707,2022-04-25/2022-05-01,21.9,7.1,14.4,15.0,134.7
5707,2022-05-02/2022-05-08,21.4,9.3,45.8,17.3,118.5
5707,2022-05-09/2022-05-15,27.2,12.3,9.9,17.2,146.9
5707,2022-05-16/2022-05-22,31.7,15.3,0.5,18.9,154.5
5707,2022-05-23/2022-05-29,30.2,12.6,83.9,30.0,150.8
5707,2022-05-30/2022-06-05,29.4,13.3,13.6,20.0,156.4
5707,2022-06-06/2022-06-12,32.7,14.8,21.9,29.8,184.2
5707,2022-06-13/2022-06-19,34.5,19.6,0.3,18.5,221.5
5707,2022-06-20/2022-06-26,33.5,15.7,22.4,25.9,148.5
5707,2022-06-27/2022-07-03,36.0,18.5,27.9,22.8,194.3
5707,2022-07-04/2022-07-10,34.8,18.7,8.799999999999999,33.3,193.6
5707,2022-07-11/2022-07-17,36.2,20.3,5.1,17.1,186.7
5707,2022-07-18/2022-07-24,36.7,23.0,5.0,20.5,205.8
5707,2022-07-25/2022-07-31,35.7,18.1,21.200000000000003,22.9,177.0
5707,2022-08-01/2022-08-07,35.6,20.2,12.200000000000001,25.3,187.7
5707,2022-08-08/2022-08-14,31.5,17.7,0.6,21.7,156.6
5707,2022-08-15/2022-08-21,31.4,17.5,23.700000000000003,17.6,143.5
5707,2022-08-22/2022-08-28,31.2,17.9,6.3,14.4,157.1
5707,2022-08-29/2022-09-04,29.6,16.3,37.6,20.5,139.9
5707,2022-09-05/2022-09-11,28.5,14.4,70.5,15.9,152.0
5707,2022-09-12/2022-09-18,28.3,13.2,3.6,30.7,155.5
5707,2022-09-19/2022-09-25,25.4,10.4,43.3,19.8,119.3
5707,2022-09-26/2022-10-02,22.7,9.6,35.9,15.5,99.4
5707,2022-10-03/2022-10-09,23.8,11.1,12.3,12.1,116.5
5707,2022-10-10/2022-10-16,21.0,9.5,4.8,11.8,87.1
5707,2022-10-17/2022-10-23,22.9,11.8,55.0,20.1,95.4
5707,2022-10-24/2022-10-30,21.8,9.5,77.9,14.0,75.0
5707,2022-10-31/2022-11-06,20.2,4.4,50.8,25.6,81.8
5707,2022-11-07/2022-11-13,16.2,2.4,16.5,12.0,64.2
5707,2022-11-14/2022-11-20,15.9,2.2,11.5,16.6,65.1
5707,2022-11-21/2022-11-27,14.9,-0.3,25.400000000000002,23.1,62.9
5707,2022-11-28/2022-12-04,8.5,-0.2,42.2,12.9,46.1
5707,2022-12-05/2022-12-11,9.2,-2.7,25.3,27.6,58.8
5707,2022-12-12/2022-12-18,4.8,-4.1,10.2,13.5,24.0
5707,2022-12-19/2022-12-25,9.8,-0.4,0.8,9.4,28.4
5707,2022-12-26/2023-01-01,11.3,1.5,6.6,10.4,39.2
